Name,Mobile,address,Shift,type,Joined,City,state,rating,reviews,open_now,lat,lng,status,website
"The Blue Moon Luxury Banquet Hall","099909 39397","Florence Rd, behind NIRALA GREENSHIRE, Sector 2, Patwari, Greater Noida, Uttar Pradesh 201318, India","DAY","Third Party","","Delhi","Delhi","4.6","763","true","28.5793952","77.4466861","OPERATIONAL","https://www.bluemoonbanquet.com/"
"Sangam Banquet Hall, Dashrathpuri, Delhi","088967 67674","metro station, A1-18, Dabri - Palam Rd, opp. Dashrath Puri, Block B, Vijay Enclave, Mahavir Enclave, Delhi, 110045, India","DAY","Third Party","","Delhi","Delhi","4.3","160","true","28.6035095","77.0826014","OPERATIONAL","http://www.sangambanquet.com/"
"The Vivann","","Plot 25A, Mansaa Filing Station, CBD Ground, Vishwas Nagar Extension, Vishwas Nagar, Shahdara, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.4","554","","28.6591091","77.2975292","OPERATIONAL",""
"Book My Banquets – Banquet Halls in Gurgaon & Delhi NCR","","40A/5, CHANDER NAGAR, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122001, India","DAY","Third Party","","Delhi","Delhi","3.4","10","true","28.4667426","77.04725049999999","OPERATIONAL","https://www.bookmybanquets.in/"
"Golden Moments | Best Banquet Hall in Vasundhara","070656 07071","Convention Hall, Sector 16A, Sector 16, Vasundhara, Ghaziabad, Uttar Pradesh 201012, India","DAY","Third Party","","Delhi","Delhi","4.9","712","true","28.6599981","77.3567687","OPERATIONAL","http://www.thegoldenmoments.in/"
"Edesia the Party Hall","096433 32974","Edesia, the party hall, opp. PVR, Block D, Saket, New Delhi, Delhi 110017, India","DAY","Third Party","","Delhi","Delhi","4.2","336","true","28.5234127","77.20613089999999","OPERATIONAL","http://goldendreamsbanquets.com/"
"Silverline Banquet hall","095403 81400","Shahdara, D-58, Pocket E, Dilshad Colony New Simapuri, Dilshad Colony, Delhi, 110095, India","DAY","Third Party","","Delhi","Delhi","4.1","162","true","28.6885834","77.3234441","OPERATIONAL","http://www.silverlinebanquets.in/"
"Khushi Party Hall","092123 33313","MP Mall, near Gopal Mandir, Block MP, Poorvi Pitampura, Pitampura, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","3.7","1375","true","28.7046138","77.1486984","OPERATIONAL",""
"AISF Hall","","Kalka Devi Marg, National Park, Lajpat Nagar, New Delhi, Delhi 110024, India","DAY","Third Party","","Delhi","Delhi","4.2","577","true","28.5591926","77.2403223","OPERATIONAL",""
"Kings & Queens Party Hall Ghaziabad","099919 29391","97, 26, Rakesh Marg, Pocket K, Nehru Nagar III, Nehru Nagar, Ghaziabad, Uttar Pradesh 201001, India","DAY","Third Party","","Delhi","Delhi","4","284","true","28.653366","77.444017","OPERATIONAL","https://kingsnqueens.in/"
"BLESSINGS PARTY HALL","011 4019 6676","Kirti Nagar A-7 Kailash Park, 2nd Floor, Metro Pillar Number 326, opp. Moti nagar, Block A, Indira Colony, Kirti Nagar, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","3.8","166","true","28.6556364","77.13851129999999","OPERATIONAL",""
"Pearl Grand Banquet Hall Kaushambhi","098719 36512","Kaushambi, Ghaziabad, Uttar Pradesh 201010, India","DAY","Third Party","","Delhi","Delhi","4","1569","true","28.6396561","77.3270888","OPERATIONAL",""
"DELHI DARBAR PARTY HALL","088515 38031","GALI NO. 2, Main Jagatpur Rd, Sangam Vihar, Wazirabad, Delhi, 110084, India","DAY","Third Party","","Delhi","Delhi","4","93","true","28.724595","77.2174367","OPERATIONAL",""
